City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
60,Mar Del Plata,AR,-38.0023,-57.5575,64.09,50,0,11.01,Clear,2021-05-27 23:23:10
61,Brownsville,US,25.9018,-97.4975,86.11,74,40,10.0,Clouds,2021-05-27 23:23:03
62,Bubaque,GW,11.2833,-15.8333,78.71,76,7,3.2,Clear,2021-05-27 23:23:22
63,Zaysan,KZ,47.4667,84.8667,67.32,54,72,7.56,Clouds,2021-05-27 23:23:22
64,Esperance,AU,-33.8667,121.9,49.84,50,4,16.24,Clear,2021-05-27 23:23:23
65,Tiksi,RU,71.6872,128.8694,35.02,89,100,7.65,Clouds,2021-05-27 23:23:23
66,Kununurra,AU,-15.7667,128.7333,75.18,35,8,8.05,Clear,2021-05-27 23:23:23
67,Husavik,IS,66.0449,-17.3389,48.11,51,29,11.97,Clouds,2021-05-27 23:23:24
68,Hithadhoo,MV,-0.6,73.0833,81.88,78,100,18.32,Clouds,2021-05-27 23:23:24
69,Dali,CN,25.7,100.1833,64.74,88,93,4.16,Clouds,2021-05-27 23:23:24
70,Kuching,MY,1.55,110.3333,79.02,94,20,3.44,Rain,2021-05-27 23:23:25
71,Punta Arenas,CL,-53.15,-70.9167,28.51,80,0,14.99,Clear,2021-05-27 23:23:25
72,Atuona,PF,-9.8,-139.0333,78.93,73,11,13.98,Clouds,2021-05-27 23:23:25
73,Behbahan,IR,30.5959,50.2417,76.32,16,0,5.01,Clear,2021-05-27 23:23:25
74,Ilulissat,GL,69.2167,-51.1,44.98,55,82,12.73,Clouds,2021-05-27 23:23:26
75,Narsaq,GL,60.9167,-46.05,45.32,63,63,7.11,Clouds,2021-05-27 23:23:26
76,Cherskiy,RU,68.75,161.3,58.62,24,96,10.07,Clouds,2021-05-27 23:23:26
77,Lorengau,PG,-2.0226,147.2712,82.74,77,100,6.49,Clouds,2021-05-27 23:23:27
78,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,36,4.36,Clouds,2021-05-27 23:23:27
79,Kirkland Lake,CA,48.1446,-80.0377,43.63,39,29,7.2,Clouds,2021-05-27 23:23:27
80,Khatanga,RU,71.9667,102.5,29.68,85,97,10.25,Clouds,2021-05-27 23:23:28
